Flavor,Important,Sorbet,Nut,Starting_Inventory,Runout_Date,Days_Remaining,Priority_Score
Dough,1,0,0,2.0,2025-07-09,3,19
Prail,1,0,0,2.0,2025-07-10,4,19
V,1,0,0,9.0,2025-07-10,4,19
Cham,1,0,0,9.0,2025-07-13,7,16
Death,1,0,0,4.0,2025-07-09,3,12
Choc,1,0,0,3.0,2025-07-10,4,12
S Sorbet,0,1,0,1.0,2025-07-08,2,11
BP,1,0,1,3.0,2025-07-09,3,11
DCC,1,0,0,6.0,2025-07-10,4,11
CCC,1,0,0,4.0,2025-07-10,4,10
Mudd,1,0,0,3.0,2025-07-10,4,10
PBC,1,0,0,2.0,2025-07-10,4,10
Bord,1,0,0,2.0,2025-07-11,5,9
MCC,1,0,0,4.0,2025-07-12,6,8
Straw,1,0,0,3.0,2025-07-12,6,8
MO,1,0,0,4.0,2025-07-13,7,7
Coffee,1,0,0,4.0,2025-07-14,8,7
DT,1,0,0,5.0,2025-07-14,8,6
ET,1,0,0,6.0,2025-07-14,8,6
Oreo,1,0,0,6.0,2025-07-15,9,5
Blue Moon,1,0,0,10.0,2025-07-16,10,4
Mocha Chip,1,0,0,5.0,2025-07-16,10,4
Cher Chzcke,1,0,0,8.0,2025-07-17,11,3
CC,1,0,0,5.0,2025-07-18,12,2
T,0,0,1,3.0,2025-07-11,5,0
Maple,0,0,1,3.0,2025-07-12,6,0
Pist,0,0,1,4.0,2025-07-16,10,0
Harley,0,0,0,4.0,2025-07-18,12,0
Coco,1,0,1,9.0,Beyond Prediction,14,0
RB Float,0,0,0,8.0,Beyond Prediction,14,0
